Match Number,Round Number,Date,Location,Home Team,Away Team,Result
8,1,24/08/2024 16:30,Signal Iduna Park,Borussia Dortmund,Eintracht Frankfurt,2 - 0
13,2,31/08/2024 13:30,Weser-Stadion,SV Werder Bremen,Borussia Dortmund,0 - 0
26,3,13/09/2024 18:30,Signal Iduna Park,Borussia Dortmund,1. FC Heidenheim 1846,4 - 2
35,4,22/09/2024 15:30,MHPArena,VfB Stuttgart,Borussia Dortmund,5 - 1
43,5,27/09/2024 18:30,Signal Iduna Park,Borussia Dortmund,VfL Bochum 1848,4 - 2
48,6,05/10/2024 13:30,An der Alten Försterei,1. FC Union Berlin,Borussia Dortmund,2 - 1
61,7,18/10/2024 18:30,Signal Iduna Park,Borussia Dortmund,FC St. Pauli,2 - 1
68,8,26/10/2024 13:30,WWK Arena,FC Augsburg,Borussia Dortmund,2 - 1
79,9,02/11/2024 17:30,Signal Iduna Park,Borussia Dortmund,RB Leipzig,2 - 1
85,10,09/11/2024 14:30,Mewa Arena,1. FSV Mainz 05,Borussia Dortmund,3 - 1
96,11,23/11/2024 14:30,Signal Iduna Park,Borussia Dortmund,SC Freiburg,4 - 0
107,12,30/11/2024 17:30,Signal Iduna Park,Borussia Dortmund,FC Bayern München,1 - 1
111,13,07/12/2024 17:30,Borussia-Park,Borussia Mönchengladbach,Borussia Dortmund,1 - 1
125,14,15/12/2024 16:30,Signal Iduna Park,Borussia Dortmund,TSG Hoffenheim,1 - 1
129,15,22/12/2024 16:30,Volkswagen Arena,VfL Wolfsburg,Borussia Dortmund,1 - 3
143,16,10/01/2025 19:30,Signal Iduna Park,Borussia Dortmund,Bayer 04 Leverkusen,2 - 3
145,17,14/01/2025 17:30,Holstein-Stadion,Holstein Kiel,Borussia Dortmund,4 - 2
159,18,17/01/2025 19:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,2 - 0
170,19,25/01/2025 14:30,Signal Iduna Park,Borussia Dortmund,SV Werder Bremen,2 - 2
176,20,01/02/2025 14:30,Voith-Arena,1. FC Heidenheim 1846,Borussia Dortmund,1 - 2
187,21,08/02/2025 14:30,Signal Iduna Park,Borussia Dortmund,VfB Stuttgart,1 - 2
191,22,15/02/2025 14:30,Vonovia Ruhrstadion,VfL Bochum 1848,Borussia Dortmund,2 - 0
205,23,22/02/2025 17:30,Signal Iduna Park,Borussia Dortmund,1. FC Union Berlin,6 - 0
208,24,01/03/2025 14:30,Millerntor-Stadion,FC St. Pauli,Borussia Dortmund,0 - 2
223,25,08/03/2025 14:30,Signal Iduna Park,Borussia Dortmund,FC Augsburg,0 - 1
233,26,15/03/2025 17:30,Red Bull Arena,RB Leipzig,Borussia Dortmund,2 - 0
241,27,30/03/2025 15:30,Signal Iduna Park,Borussia Dortmund,1. FSV Mainz 05,3 - 1
249,28,05/04/2025 13:30,Europa-Park Stadion,SC Freiburg,Borussia Dortmund,1 - 4
259,29,12/04/2025 16:30,Allianz Arena,FC Bayern München,Borussia Dortmund,2 - 2
269,30,20/04/2025 15:30,Signal Iduna Park,Borussia Dortmund,Borussia Mönchengladbach,3 - 2
275,31,26/04/2025 13:30,PreZero Arena,TSG Hoffenheim,Borussia Dortmund,2 - 3
287,32,03/05/2025 16:30,Signal Iduna Park,Borussia Dortmund,VfL Wolfsburg,4 - 0
297,33,11/05/2025 13:30,BayArena,Bayer 04 Leverkusen,Borussia Dortmund,2 - 4
305,34,17/05/2025 13:30,Signal Iduna Park,Borussia Dortmund,Holstein Kiel,3 - 0
